"","SAMPLE_dN15.14.comps"
"Wave_1554",-5.5201571255633
"Wave_1555",-5.42073044712415
"Wave_1556",-5.69421568123298
"Wave_1557",-5.95236081732765
"Wave_1558",-5.87368310767135
"Wave_1559",-5.67970451136353
"Wave_1560",-5.53685680239228
"Wave_1561",-5.46875114417143
"Wave_1562",-5.30800630454122
"Wave_1563",-5.3621847403542
"Wave_1564",-5.54432705544565
"Wave_1565",-5.2034245844672
"Wave_1566",-4.91507264877583
"Wave_1567",-5.07045767870638
"Wave_1568",-5.02988546063955
"Wave_1569",-4.71372804445806
"Wave_1570",-4.30329716513394
"Wave_1571",-4.09112468329473
"Wave_1572",-3.75289961660745
"Wave_1573",-3.32730562728609
"Wave_1574",-3.55717597112835
"Wave_1575",-3.26564361945431
"Wave_1576",-2.35266841963822
"Wave_1577",-2.48721503837286
"Wave_1578",-2.9138173515735
"Wave_1579",-2.82040654019597
"Wave_1580",-2.99867277505582
"Wave_1581",-3.1871970403276
"Wave_1582",-2.73471495183406
"Wave_1583",-2.57489101269456
"Wave_1584",-3.1838519788072
"Wave_1585",-3.28757041644545
"Wave_1586",-3.10858361168235
"Wave_1587",-3.2537709710182
"Wave_1588",-3.13331796672074
"Wave_1589",-2.83367661412553
"Wave_1590",-2.45341172903681
"Wave_1591",-2.2617390344764
"Wave_1592",-2.4655526635695
"Wave_1593",-2.30457842834153
"Wave_1594",-2.09760437187836
"Wave_1595",-2.36895546726088
"Wave_1596",-2.14457176545864
"Wave_1597",-1.87679236429253
"Wave_1598",-2.31324584963198
"Wave_1599",-2.46444809166709
"Wave_1600",-2.27356715001376
"Wave_1601",-1.98603312956823
"Wave_1602",-1.59359869161346
"Wave_1603",-1.27745747988866
"Wave_1604",-0.927074626732554
"Wave_1605",-0.840816811404809
"Wave_1606",-0.728667812749563
"Wave_1607",-0.696106386492877
"Wave_1608",-0.974478645043532
"Wave_1609",-0.777011702279438
"Wave_1610",-0.573653043862325
"Wave_1611",-0.388404887358684
"Wave_1612",0.281304856452219
"Wave_1613",0.81207206173188
"Wave_1614",1.30042640247875
"Wave_1615",1.62847942960642
"Wave_1616",1.68278964091717
"Wave_1617",2.44709079023355
"Wave_1618",3.49322334476687
"Wave_1619",4.19256868569927
"Wave_1620",5.47997830040397
"Wave_1621",6.67109196603867
"Wave_1622",6.99936694784202
"Wave_1623",7.95285977315866
"Wave_1624",9.58318887860714
"Wave_1625",10.5939799731164
"Wave_1626",11.4180423724411
"Wave_1627",12.9462192653418
"Wave_1628",14.6286782499343
"Wave_1629",15.7019138765079
"Wave_1630",16.1717306736946
"Wave_1631",16.4975871899883
"Wave_1632",16.5842793532873
"Wave_1633",16.3576037619981
"Wave_1634",16.3205886223586
"Wave_1635",16.0064293013313
"Wave_1636",14.8310009077741
"Wave_1637",13.5299866595153
"Wave_1638",12.6552988456939
"Wave_1639",11.3662834312027
"Wave_1640",9.72147322944158
"Wave_1641",8.58797686004707
"Wave_1642",7.60179545756299
"Wave_1643",6.41076542836816
"Wave_1644",5.40723591277692
"Wave_1645",4.34152922881868
"Wave_1646",3.08677459214174
"Wave_1647",2.36453360044437
"Wave_1648",1.85410519137358
"Wave_1649",1.17926018917735
"Wave_1650",0.249976984400559
"Wave_1651",-0.88444623623748
"Wave_1652",-1.59322489609838
"Wave_1653",-2.08889406742669
"Wave_1654",-2.6754620333197
"Wave_1655",-3.19263391441891
"Wave_1656",-4.11691565287085
"Wave_1657",-5.53511119031757
"Wave_1658",-6.89193350665819
"Wave_1659",-8.10920465057547
"Wave_1660",-8.64431904580288
"Wave_1661",-9.29472746702674
"Wave_1662",-10.6073928753864
"Wave_1663",-11.1605325739795
"Wave_1664",-11.6783304026962
"Wave_1665",-12.5033296695321
"Wave_1666",-12.2506954032322
"Wave_1667",-11.9487412116168
"Wave_1668",-12.453149586802
"Wave_1669",-12.1018239374881
"Wave_1670",-11.0674430055073
"Wave_1671",-10.3848939636986
"Wave_1672",-9.71426201220507
"Wave_1673",-9.07815875518448
"Wave_1674",-8.51844622837665
"Wave_1675",-7.84867432399866
"Wave_1676",-6.93784549135337
"Wave_1677",-6.01079813137879
"Wave_1678",-5.1576476173816
"Wave_1679",-4.27996068574576
"Wave_1680",-3.38065123958926
"Wave_1681",-2.33316025667875
"Wave_1682",-1.27247402045892
"Wave_1683",-0.127946108985907
"Wave_1684",1.38138401511982
"Wave_1685",3.10949007596055
"Wave_1686",4.58503849556762
"Wave_1687",5.92030876300942
"Wave_1688",7.71899256550969
"Wave_1689",9.62436191972755
"Wave_1690",11.0321059066518
"Wave_1691",12.2522622762769
"Wave_1692",13.3346567274163
"Wave_1693",14.054288560427
"Wave_1694",15.1295301099641
"Wave_1695",16.3487302135671
"Wave_1696",16.8601098079439
"Wave_1697",17.492243756741
"Wave_1698",17.7957756555197
"Wave_1699",17.8913835989709
"Wave_1700",17.686500669094
"Wave_1701",17.1990894275774
"Wave_1702",16.207600302439
"Wave_1703",14.6215474622498
"Wave_1704",13.6781080877616
"Wave_1705",12.2456139159007
"Wave_1706",10.5273691932246
"Wave_1707",8.91621077671544
"Wave_1708",6.64154234078765
"Wave_1709",3.56575854338878
"Wave_1710",0.751681295166969
"Wave_1711",-1.85525106815215
"Wave_1712",-5.38363008342042
"Wave_1713",-8.89152409508572
"Wave_1714",-11.5971325690625
"Wave_1715",-14.5452711470522
"Wave_1716",-17.7003309240074
"Wave_1717",-19.4202823363301
"Wave_1718",-20.8243943050626
"Wave_1719",-23.2686913581126
"Wave_1720",-24.298215199839
"Wave_1721",-24.59084220874
"Wave_1722",-25.0093952427868
"Wave_1723",-23.9500210287311
"Wave_1724",-22.8673180432056
"Wave_1725",-22.1347036356591
"Wave_1726",-20.563588040543
"Wave_1727",-18.3816568051743
"Wave_1728",-15.8369970061602
"Wave_1729",-13.1198660483303
"Wave_1730",-10.4210162821998
"Wave_1731",-8.3859886973437
"Wave_1732",-6.29296954530136
"Wave_1733",-3.70513978474959
"Wave_1734",-1.5455343724449
"Wave_1735",0.420221379165372
"Wave_1736",2.13151876210045
"Wave_1737",3.46586478616947
"Wave_1738",4.78417965867262
"Wave_1739",5.50418543991745
"Wave_1740",5.78017742944028
"Wave_1741",6.26102236128661
"Wave_1742",6.32040181671267
"Wave_1743",6.4730227954394
"Wave_1744",5.87068012513606
"Wave_1745",5.59769046011389
"Wave_1746",4.94902872423402
"Wave_1747",4.25863466370581
"Wave_1748",4.28524652967987
"Wave_1749",4.2162970202612
"Wave_1750",3.43215723612116
"Wave_1751",3.05781023080181
"Wave_1752",3.28064233311969
"Wave_1753",2.90808602990668
"Wave_1754",2.08170981929927
"Wave_1755",2.25800647071551
"Wave_1756",2.64319601536075
"Wave_1757",2.65386955616213
"Wave_1758",3.24918165784626
"Wave_1759",3.44110231855558
"Wave_1760",3.5048184532512
"Wave_1761",4.57178927946587
"Wave_1762",5.08953328672394
"Wave_1763",5.15666875190831
"Wave_1764",6.17614412087119
"Wave_1765",7.52499742923229
"Wave_1766",8.44954191434706
"Wave_1767",8.90897444305644
"Wave_1768",9.12162411700201
"Wave_1769",9.36161217905389
"Wave_1770",9.54377297635784
"Wave_1771",9.79633914803157
"Wave_1772",10.4373853673638
"Wave_1773",10.5767510730364
"Wave_1774",10.366618898264
"Wave_1775",10.502689603163
"Wave_1776",10.4846502175607
"Wave_1777",10.9439808918834
"Wave_1778",11.1196647883154
"Wave_1779",10.8507426368088
"Wave_1780",10.9001385744327
"Wave_1781",10.2748394886749
"Wave_1782",10.1501405604229
"Wave_1783",11.3765659589152
"Wave_1784",11.3046656393237
"Wave_1785",9.94693188983969
"Wave_1786",9.8544259465184
"Wave_1787",9.68527785776815
"Wave_1788",9.59998895187198
"Wave_1789",10.8638976869036
"Wave_1790",11.0801485689217
"Wave_1791",10.3568555808454
"Wave_1792",10.3726082072158
"Wave_1793",10.342173208131
"Wave_1794",10.3093434603975
"Wave_1795",10.5689415278026
"Wave_1796",10.9125327610054
"Wave_1797",11.6873109077287
"Wave_1798",11.9728595434888
"Wave_1799",11.3228536836652
"Wave_1800",10.6332389149149
"Wave_1801",9.20136385050988
"Wave_1802",6.97461192307999
"Wave_1803",6.46071297223983
"Wave_1804",6.87567961420351
"Wave_1805",5.86554783317473
